title,price,rating,reviews,brand,ram,storage,processor,windows,screen_size,color
"ASUS Zenbook 14,Intel Core Ultra 7 (Series 2), Intel Arc iGPU,32GB,1TB,3K OLED Touch Screen,14"",Windows 11,M365 Basic (1Year)*,Office 2024,Ponder Blue,1.28 kg UX3405CA-PZ163WS, Thin & Light Laptop",114990.0,4.1,,ASUS,,,,Windows 11,14,Blue
"HP 15, Intel Core i3-1315U-13th Gen Laptop (8GB DDR4 Ram,512GB SSD) Anti-Glare, Micro-Edge,15.6''/39.6CMs FHD, Win11,M365 Basic(1yr),Office Home24, Silver,1.59kg, FHD fd0569TU",38990.0,3.9,,HP,,512GB SSD,i3,Windows 11,15.6,Silver
"HP Smartchoice Victus, 13th Gen i7-13620H, 6GB RTX 4050, 16GB DDR4(Upgradeable) 512GB SSD, 144Hz, 300nits, FHD, 15.6''/39.6cm, Win11, M365* Office24, Mica Silver, 2.3kg, fa2100/03/04tx, Gaming Laptop",92990.0,4.0,,HP,,512GB SSD,i7,Windows 11,15.6,Silver
"Apple 2025 MacBook Pro Laptop with M5 chip, 10‑core CPU and 10‑core GPU: Built for Apple Intelligence, 35.97 cm (14.2″) Liquid Retina XDR Display, 16GB Unified Memory, 512GB SSD Storage; Space Black",164490.0,4.8,,Apple,,512GB SSD,,,,Black
"Lenovo Legion Pro 5 2025, Intel Core Ultra 7 255HX, RTX 5060-8GB, 32GB RAM, 1TB SSD, WQXGA OLED, 16""/40.6cm, 165Hz, Windows 11, Office 2024+AI Now, Black, 2.4Kg, 83F3007CIN, AI Powered Gaming Laptop",200827.0,3.4,,Lenovo,32GB,1TB SSD,,Windows 11,16,Black
"Lenovo LOQ 2025, AMD Ryzen 7-250, RTX 5050-8GB, 24GB RAM, 1TB SSD, 440 AI Tops, FHD, 15.6""/39.6cm, 144Hz, Windows 11, Office 2024, Grey, 2.4Kg, 3 Mon. Game Pass, 83JG008NIN, AI Gaming Laptop",114927.0,3.4,,Lenovo,24GB,1TB SSD,Ryzen 7,Windows 11,15.6,Grey
"ASUS Vivobook Go 15, AMD Ryzen 5 7520U Thin & Light Laptop(AMD Radeon iGPU/8GB RAM/512GB SSD/FHD/15.6""/60Hz/Windows 11/M365 Basic (1Year)*/Office Home 2024/Cool Silver/1.63 Kg) E1504FA-NJ132WS",37990.0,4.0,,ASUS,8GB,512GB SSD,Ryzen 5,Windows 11,15.6,Silver
"HP Laptop 15, Intel Core i5-1335U-13th Gen, (16GB DDR4,512GB SSD) Anti-Glare, Micro-Edge, FHD, 15.6''/39.6cm, Win11, M365 Basic(1yr)* Office24, Silver, 1.59kg, Iris Xe, FHD Camera w/Shutter",55990.0,4.0,,HP,,512GB SSD,i5,Windows 11,15.6,Silver
"ASUS Vivobook S14, Intel Core Ultra 7 255H, 16GB RAM, 512GB SSD, FHD+ 14"", Windows 11,Office Home 2024 M365 Basic (1Year)*, Cool Silver, 1.4Kg, S3407CA-LY084WS, Intel Arc iGPU, Metallic Design Laptop",80990.0,4.5,,ASUS,16GB,512GB SSD,,Windows 11,14,Silver
"ASUS Vivobook 15, 13th Gen, Intel Core i3-1315U, 16GB RAM, 512GB SSD, FHD, Anti-Glare, 15.6"", 39.6 cm, Windows 11 Home, M365 Basic(1yr)* Office24, Cool Silver, 1.70 kg, X1504VA-BQ341WS, Laptop",40990.0,4.2,,ASUS,16GB,512GB SSD,i3,Windows 11,15.6,Silver
"HP Omen 16 Max, Intel Core Ultra 9 275HX processor,16GB NVIDIA RTX 5080 Gaming AI Laptop (32GB DDR5,1TB SSD) 60-240 Hz,3Ms,IPS,WQXGA,16''/40.6Cm,Win11,M365* Office24,Black,2.68Kg,RGB Backlit, Ah0076Tx",287999.0,3.6,,HP,,1TB SSD,,Windows 11,16,Black
"HP Omen, Intel Core i7-14650HX 14th Gen, 8GB RTX 5050, 24GB DDR5(Upgradeable) 1TB SSD, 165Hz, 2k WUXGA, 3ms, 400 nits, 16''/40.6cm, Win11, M365* Office24, Black, 2.43kg, am0241TX, RGB Gaming Laptop",138990.0,4.3,,HP,,1TB SSD,i7,Windows 11,16,Black
"HP Omen, Intel Core Ultra 9 285H, 8GB RTX 5070, 32GB DDR5, 1TB SSD, 165Hz, 2k WUXGA, 3ms, 400 nits, 16''/40.6cm, Win11, M365* Office24, Black, 2.42kg, an0012TX, Unleashed Mode, RGB, AI Gaming Laptop",177990.0,4.5,,HP,,1TB SSD,,Windows 11,16,Black
"HP Victus, Intel Core 7 240H, 8GB RTX 5050, 24GB DDR5(Upgradeable) 1TB SSD, FHD, 144Hz, 300 nits, IPS, 15.6''/39.6cm, Win11, M365* Office24, Mica Silver, 2.29kg, fa2409TX, RGB Backlit, Gaming Laptop",109015.0,3.0,,HP,,1TB SSD,,Windows 11,15.6,Silver
"Lenovo V15 AMD Ryzen 7 7730U 15.6"" (39.62cm) FHD 250 Nits Antiglare Thin and Light Laptop (Free MS Office) Lifetime (16GB/512GB SSD/Windows 11/Iron Grey/1.65 Kg) 1 Year Brand Warranty, 83CRA01SIN",52999.0,4.1,,Lenovo,,512GB SSD,Ryzen 7,Windows 11,15.6,Grey
"Lenovo IdeaPad Slim 5, AMD Ryzen AI 7 350, 24GB RAM, 1TB SSD, WUXGA OLED 14""(35.5cm), Win11, Office Home'24, Grey, 1.4Kg, 83HX001NIN, Copilot+ PC, Backlit Keyboard, 1Yr ADP Free AI Powered Laptop",90991.0,3.7,,Lenovo,24GB,1TB SSD,,Windows 11,14,Grey
"Lenovo Yoga Slim 7 (Smartchoice) Intel Core Ultra 9 185H 14""(35.5cm) WUXGA-OLED Laptop (32GB RAM/1TB SSD/AI PC/Windows 11/Microsoft 365 Basic + Office Home 2024/1Yr ADP Free/Grey/1.39Kg), 83CV00B3IN",109990.0,4.1,,Lenovo,32GB,1TB SSD,,Windows 11,14,Grey
"Lenovo IdeaPad Slim 3 12th Gen Intel Core i5-12450H 15.6 Inch (39.6cm) FHD Thin & Light Laptop (16GB/512GB SSD/Windows 11/Office Home 2024/3months Game Pass/Arctic Grey/1.62Kg), 83ER00MCIN",50900.0,4.3,,Lenovo,,512GB SSD,i5,Windows 11,15.6,Grey
"ASUS Vivobook Go 14, AMD Ryzen 3 7320U Processor,(8GB RAM/512GB SSD/14 FHD (1920 x 1080)/Windows 11/M365 Basic (1Year)*/Office Home 2024/Silver/1.38 kg), E1404FA-EB2321WS",34990.0,3.5,,ASUS,8GB,512GB SSD,Ryzen 3,Windows 11,,Silver
"HP 15 Laptop, AMD Ryzen 5 7520U (16GB DDR5,512GB SSD) Win11,M365 Basic(1yr)*Office Home24, Anti-Glare,15.6''/39.6cm,FHD,Backlit KB,FHD Camera w/Privacy Shutter,Radeon Graphics, Silver,1.59kg FC0690AU",45990.0,3.9,,HP,,512GB SSD,Ryzen 5,Windows 11,15.6,Silver
"HP Omen, 14th Gen Intel Core i7-14700HX, 8GB RTX 4070 (16GB DDR5, 1TB SSD) 165Hz, 300nits, IPS, FHD, 16.1""/40.9cm, Win11, M365* Office 24, Meteor Silver, 2.31Kg, RGB Backlit, ae0003TX, Gaming Laptop",131490.0,3.4,,HP,,1TB SSD,i7,Windows 11,16.1,Silver
"acer SmartChoice ALG, 13th Gen Intel Core i5-13420H, NVIDIA GeForce RTX 3050-6GB DDR6, 16GB RAM, 512GB SSD, FHD 15.6""/39.62 cm, 144Hz, Windows 11 Home, Steel Gray, 1.99 KG, AL15G-53,Gaming Laptop",62990.0,4.0,,acer,16GB,512GB SSD,i5,Windows 11,15.6,Gray
"acer Nitro Lite 16, 13th Gen, Intel Core i5-13420H Processor,NVIDIA GeForce RTX 3050-6 GB GDDR6, 16GB/ 512 GB, 16.0""/40.64 cm, 165 Hz, Win 11 Home, White, 1.95 kg, NL16-71G, Backlit KB,Gaming Laptop",64400.0,4.2,,acer,,,i5,Windows 11,16.0,White
"HP OmniBook 7 OLED, Intel Core Ultra 7 255H (32GB LPDDR5,1TB SSD), 3K, 0.2 ms, Micro-Edge, 14''/35.6cm, Win 11, M365, Office 24, Meteor Silver,1.5kg, fr0116TU, 5MP Camera w/Shutter, Backlit AI Laptop",118990.0,3.7,,HP,,1TB SSD,,Windows 11,14,Silver
"acer Aspire Lite, 13th Gen, Intel Core i7-13620H Processor, 16GB RAM, 512GB SSD, Full HD IPS,15.6""/39.62 cm, Windows 11 Home,MS Office Pure Silver, 1.70 kg, AL15-52H, Backlit kB,Thin and Light Laptop",58990.0,4.0,,acer,16GB,512GB SSD,i7,Windows 11,15.6,Silver
"acer Aspire 3 Intel Pentium N100 Processor Laptop with 35.56 cm (14"") Full HD IPS Display (16 GB RAM/512 GB SSD/Intel Graphics/Win11 Home/WiFi 6/38Wh) A324-31, Steel Gray, 1.45KG",34990.0,4.2,,acer,16GB,512 GB SSD,,Windows 11,14,Gray
"MSI Katana 15, Intel 14th Gen. i7-14650HX, 40CM QHD 165Hz Gaming Laptop (16GB/512GB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 5050, GDDR7 8GB/Black/2.4Kg) B14WEK-266IN",114990.0,4.4,,MSI,,,i7,Windows 11,,Black
"Lenovo ThinkBook 16, AMD Ryzen 5 7535HS, 16GB RAM, 512GB SSD, WUXGA IPS 16"", Windows 11 Home, Office 2024, 1.7kg, 21MWA0BSIN, Backlit Keyboard, Fingerprint, 300 Nits, 1Y Warranty, Aluminium Top Laptop",54777.0,4.0,,Lenovo,16GB,512GB SSD,Ryzen 5,Windows 11,16,
