title,price,rating,reviews,brand,ram,storage,processor,windows,screen_size,color
"HP Victus, 14th Gen Intel Core i5-14450HX, 6GB RTX 3050, 24GB DDR5, 512GB SSD, FHD, 144Hz, IPS, 300 nits, 15.6''/39.6cm, Win11, M365* Office24, Mica Silver, 2.3kg, fa2303tx, RGB Gaming Laptop",80490.0,3.9,,HP,,512GB SSD,i5,Windows 11,15.6,Silver
"MSI Katana A15 AI, Ryzen 7 8845HS, Built-in AI, 40CM FHD 144Hz Gaming Laptop(16GB/512GB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 4050, GDDR6 6GB/Black/2.25Kg), B8VE-418IN",99990.0,3.8,,MSI,,,Ryzen 7,Windows 11,,Black
"ASUS Gaming V16 (2025), 14th Gen,Intel Core 7 240H Gaming Laptop(RTX 5050-8GB/16GB RAM/512GB SSD/FHD+/16""/144Hz/Backlit Keyboard/Windows 11/M365*/Office Home 2024/Matte Black/1.95 Kg) V3607VH-RP038WS",99990.0,5.0,,ASUS,16GB,512GB SSD,,Windows 11,16,Black
"ASUS Vivobook S16,14th Gen, Intel Core 5-210H,Metallic Design Laptop(Intel UHD iGPU/16GB RAM/512GB SSD/FHD+/16""/144Hz/Windows 11/M365 Basic(1Year)*/Office Home 2024/Silver/1.7Kg) S3607VA-RP114WS",67990.0,4.3,,ASUS,16GB,512GB SSD,,Windows 11,16,Silver
"ASUS Vivobook Go 14, AMD Ryzen 5 7520U, 16GB RAM,512GB SSD,FHD,14,60Hz,42WHrs,Windows 11,M365 Basic (1Year)*,Office Home 2024,Mixed Black,Backlit KB,1.38 kg E1404FA-NK5542WS, Thin & Light Laptop",42990.0,4.5,,ASUS,16GB,512GB SSD,Ryzen 5,Windows 11,,Black
"HP Smartchoice Victus, 13th Gen Intel Core i7-13620H, 8GB RTX 5050, 24GB DDR5(Upgradeable) 1TB SSD, 144Hz, FHD, 15.6''/39.6cm, Win11, M365* Office24, Mica Silver, 2.29kg, fa2309TX, RGB Gaming Laptop",109990.0,4.0,,HP,,1TB SSD,i7,Windows 11,15.6,Silver
"Lenovo IdeaPad 5 2-in-1 AMD Ryzen AI 7 350 (24GB RAM/1TB SSD/14 (35.5cm)/WUXGA OLED/Windows 11/Lenovo AI Now/Copilot+PC/Office Home 2024/Digital Pen 2/Grey/1.5Kg), 83KT000LIN Convertible Laptop",99990.0,4.1,,Lenovo,24GB,1TB SSD,,Windows 11,,Grey
"Lenovo Smartchoice Ideapad 5 2-in-1 13th Gen Intel Core i5-13420H (16GB RAM/512GB SSD/Windows 11/Office Home 2024/WUXGA IPS/14 (35.5cm)/Touchscreen 2-in-1/3Mon.Game Pass/Grey/1.6kg), 83KX0059IN Laptop",74090.0,4.1,,Lenovo,16GB,512GB SSD,i5,Windows 11,,Grey
"HP Smartchoice OmniBook 5 (Previously Pavilion) 50 TOPS, AMD Ryzen AI 7 350 (16GB LPDDR5X, 512GB SSD) WUXGA 2K, Touch, 16''/40.6cm, Win11,Office24, Silver, 1.8kg, ag1048au, Next-Gen AI Copilot+ Laptop",80990.0,4.0,,HP,,512GB SSD,,Windows 11,16,Silver
"ASUS Vivobook Go 15, 7000 Series, AMD Ryzen 3 7320U, 8 GB RAM, 512GB SSD, FHD, Anti-Glare, 15.6"", 39.6 cm, Windows 11 Home, M365 Basic(1yr)* Office24, Cool Silver, 1.63 kg, E1504FA-BQ2321WS, Laptop",34990.0,4.0,,ASUS,8GB,512GB SSD,Ryzen 3,Windows 11,15.6,Silver
